product_name,department,times_ordered,times_reordered,reorder_rate_pct
Organic Reduced Fat Milk,dairy eggs,1143,972,85.0
Bag of Organic Bananas,produce,12409,10297,83.0
Organic Whole Milk,dairy eggs,4362,3615,82.9
Organic Reduced Fat 2% Milk,dairy eggs,1561,1258,80.6
Organic Large Brown Grade AA Cage Free Eggs,dairy eggs,1121,896,79.9
Organic Hass Avocado,produce,6857,5435,79.3
Organic Half & Half,dairy eggs,2598,2022,77.8
Organic Baby Spinach,produce,7852,6093,77.6
Organic Strawberries,produce,8528,6603,77.4
Organic Avocado,produce,5646,4349,77.0
Organic Large Extra Fancy Fuji Apple,produce,2416,1850,76.6
Organic Unsweetened Almond Milk,dairy eggs,1764,1342,76.1
Organic Whole String Cheese,dairy eggs,1931,1468,76.0
Organic Raspberries,produce,4420,3361,76.0
Apple Honeycrisp Organic,produce,2769,2057,74.3
